"AtcoCode","TiplocCode","CrsCode","StationName","StationNameLang","GridType","Easting","Northing","CreationDateTime","ModificationDateTime","RevisionNumber","Modification"
"9100SPEANBD","SPEANBD","SBR","Spean Bridge Rail Station","","U",222120,781430,"2003-11-04T00:00:00","2007-02-13T17:06:21",3,"rev"
"9100ARDRSHB","ARDRSHB","ADS","Ardrossan Harbour Rail Station","","U",222540,642090,"2005-03-18T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100BRRHL","BRRHL","BRL","Barrhill Rail Station","","U",222600,581600,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100ARDRSTN","ARDRSTN","ADN","Ardrossan Town Rail Station","","U",223070,642050,"2005-03-18T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100IBMM","IBMM","IBM","IBM (Greenock) Rail Station","","U",223470,674320,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100ARDRSSB","ARDRSSB","ASB","Ardrossan South Beach Rail Station","","U",223799,642211,"2003-11-04T00:00:00","2007-10-11T16:51:10",2,"rev"
"9100COOMBE","COOMBE","COE","Coombe Junction Halt (Rail Station)","","U",223885,63619,"2005-04-04T00:00:00","2009-07-22T15:04:16",2,"rev"
"9100GRLCHHD","GRLCHHD","GCH","Garelochhead Rail Station","","U",224250,691050,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100GOUROCK","GOUROCK","GRK","Gourock Rail Station","","U",224280,677950,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100LISKARD","LISKARD","LSK","Liskeard Rail Station","","U",224760,63695,"2003-11-04T00:00:00","2011-09-30T14:47:28",4,"rev"
"9100HLYH","HLYH","HHD","Holyhead Rail Station","","U",224800,382200,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100CAUSLND","CAUSLND","CAU","Causeland Rail Station","","U",224830,59110,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100SLCT","SLCT","SLT","Saltcoats Rail Station","","U",224830,641330,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100SDPLACE","SDPLACE","SDP","Sandplace Rail Station","","U",224900,57000,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100BRNCHTN","BRNCHTN","BCN","Branchton Rail Station","","U",225000,675500,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100STKEYNE","STKEYNE","SKN","St Keyne Wishing Well Halt (Rail Station)","","U",225102,61032,"2005-04-04T00:00:00","2009-07-22T15:02:21",2,"rev"
"9100LOOE","LOOE","LOO","Looe Rail Station","","U",225390,53920,"2005-03-18T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100FRTMTLD","FRTMTLD","FTM","Fort Matilda Rail Station","","U",225600,677530,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
"9100ACHANLT","ACHANLT","AAT","Achanalt Rail Station","","U",226020,861473,"2003-11-04T00:00:00","2010-02-25T14:53:53",2,"rev"
"9100DRMFCHR","DRMFCHR","DFR","Drumfrochar Rail Station","","U",226800,675500,"2003-11-04T00:00:00","2006-09-18T18:24:34",1,"rev"
