mmsi,shipname,callsign,flag,imo,first_timestamp,last_timestamp
357676000,ASIAN ADONIS,3FQG9,PAN,9196424,2012-01-18T00:18:23Z,2018-06-30T23:49:51Z
357735000,FRIO MOGAMI,3FSC9,PAN,9184548,2012-07-29T03:26:30Z,2018-06-30T23:47:08Z
357772000,ALCANTARACARRIER,3EUJ3,PAN,8609979,2012-01-13T19:09:40Z,2015-02-11T05:28:13Z
374830000,SEIN GRACE,3EFA6,PAN,8609979,2016-04-23T15:26:20Z,2018-06-16T14:26:25Z
357788000,MIYABI,3FTI9,PAN,8808252,2012-01-03T10:11:32Z,2014-12-15T01:31:47Z
357788000,VICTORIA NO. 168,3FTI9,PAN,8808252,2014-12-15T01:53:33Z,2018-06-30T23:53:39Z
357805000,SKYFROST,3FTR9,PAN,8521830,2012-01-10T11:48:53Z,2018-06-30T23:45:02Z
370070000,FONG KUO NO. 819,3FCY3,PAN,8913992,2012-01-01T23:39:45Z,2018-06-30T23:36:39Z
371118580,FONG KUO NO. 819,3FCY3,PAN,8913992,2012-06-26T03:56:16Z,2012-07-03T15:15:29Z
370115000,NESTOS REEFER,3EAJ9,PAN,9045156,2015-01-09T09:20:09Z,2018-06-30T23:17:31Z
370599000,IBUKI,3ELC8,PAN,9666481,2014-12-08T02:07:32Z,2018-06-30T20:37:38Z
370866000,SEIWA,3FDT5,PAN,9021277,2015-04-03T06:40:39Z,2015-08-19T07:56:01Z
370890000,FORTUNA REEFER,3EVW4,PAN,7908770,2016-08-09T18:06:44Z,2018-06-29T06:02:46Z
370981000,ANGEL I,HOYH,PAN,8223488,2012-01-03T13:57:39Z,2018-06-30T23:51:11Z
371100000,YUNG DA FA 101,HPQB,PAN,8508840,2015-05-19T01:31:21Z,2018-06-30T00:17:54Z
371322000,HAI FENG 895,3ECC7,PAN,8814237,2012-01-01T00:32:48Z,2018-06-30T21:01:20Z
371335000,HAI FENG 628,3FEO6,PAN,8317356,2012-01-01T01:45:48Z,2018-06-19T14:31:37Z
371542000,NO.1 POHAH,3FSS6,PAN,8714944,2013-08-15T01:59:26Z,2018-06-30T21:22:18Z
371565000,TAI XING,3EZQ5,PAN,8210273,2016-06-01T03:25:02Z,2018-06-25T18:59:07Z
371785000,TALOFA,3FKN7,PAN,8223311,2017-03-27T20:55:51Z,2017-08-21T11:12:35Z
371790000,KAI DE,H3XA,PAN,8421286,2012-01-27T01:53:47Z,2018-06-30T23:57:12Z
372107000,FRIO OLYMPIC,3FTF9,PAN,8801802,2017-01-05T20:14:34Z,2018-06-30T23:37:30Z
