shipname;mmsi
SVYATITEL NIKOLAY;273569400
PIOTR.ZHITNIKOV;273810710
KAPITAN PRYAKHA;273811020
OSTROV KARAGINSKIY;273811510
SODRUZHESTVO;273811710
TRIADA;273812060
VSEVOLOD SIBIRTSEV;273812710
OZERSK;273814050
VLAD ORION;273815000
NEREY;273815020
KOMSOMOL KALININGRAD;273815050
AMURSKOE;273815080
BEREG MECHTY;273816010
KORSAKOV;273816020
ICEBERG;273817020
EVGENIY ZOTOV;273817200
DIONA;273818000
SUBARU;273819710
PRIMORYE;273820700
NADIR;273820900
NIKOLAY KASATKIN;273824020
PREDSEDATEL GANSLEP;273825200
ZALIV VOSTOK;273825700
LUCHISTYY;273825810
TITANIYA;273827710
SAKHRYBA;273829410
DORIDA;273833000
AMAYAN;273842700
CAESAR;273844500
KAPITAN STEKOLSCHIKO;273844700
VICTOR GAVRILOV;273847200
VALENTIN;273847300
SENITE;273851400
ATROPUS;273855000
DALMOS;273856100
RUBINOVYY;273872100
OSTROV IONY;273873500
IRTYSH;273875400
GEROI SIVASHA;273892210
NEPTUN-2;273894500
DRUZHBA;273895510
KAPITAN EFREMOV;273897100
ANDROMEDA;277312000
LIBRA;277327000
CAPELLA;277348000
CAPELLA;277380000
CASSIOPEA;277397000
SVARTFOSS;304882000
ORANGE STRAIT;306124000
ORANGE STREAM;306125000
NOVA ZEELANDIA;306497000
NOVA FLORIDA;306752000
COPPENAME;306862000
SIERRA LOBA;306872000
GREEN NOVA;308564000
TAMA HOPE;308765000
ORANGE SPIRIT;311000712
ORANGE SEA;311000713
GREEN MAVERIC;311004000
GREEN CRYSTAL;311009700
GREEN EGERSUND;311040500
GREEN TOLEDO;311042300
RANGIROA;312174000
FRIO ADRIATIC;312255000
HAI FENG 678;312273000
FRIO POSEIDON;312379000
ZHONGZHOU1;312621000
MV HENG YU;312774000
NORMANDIC;312862000
HAI FENG 668;312887000
OCEANPROVIDER1;316002518
WESTERN COMMANDER;316007244
ROY KRISTIAN;316008770
COLBY PERCE;316013660
AQUA TROMOY;316015660
AMARISSA JOYE;316028366
HAIJILI;325700000
MV OCEAN STAR 96;325753000
OCEAN STAR 88;325889000
NEVSKIY;325965000
DELTA REEFER;325981000
TASERMIUT;331036000
ISLAND DANCER;338167548
EGEGIK SPIRIT;338898000
FRIO MURMANSK;341009000
FRIO ARKHANGELSK;341049000
SUNNY LINA;341091000
SUNNY LISA;341095000
SUNNY MARIA;341096000
ATLANTIC LADY;341099000
ALEXANDER;341229000
NOVIY SVET;341307000
FRIO FORWIN;341346000
VESTLANDIA;341376000
REINA;341384000
HAI FENG 898;341443000
ATLANTIC REEFER;341464000
BEAM;341537000
FRIO PETROPAVLOVSK;341759000
AMATHUS;341844000
SHUN ZE LENG 6;351020000
FRIO NAGATO;351336000
NO.2 JOCHOH;351350000
CHENG HANG;351383000
ATMODA;351478000
OCEAN MARINER;351527000
ANDALUCIA CARRIER;351531000
RUI SHENG;351537000
LIAOYU REEFER 1;351543000
YAKUSHIMA;351574000
FRIO AEGEAN 1;351747000
SHIN HANG;351763000
MING HANG;351776000
TAI FU NO.3;351822000
MING HANG 5;351960000
HUA FU 107;352085000
SEA TRADER I;352199000
TUNA PRINCESS;352241000
FONG KUO NO.818;352247000
FRIO SHINANO;352349000
AVUNDA REEFER;352351000
M/V KHOROL;352363000
DINOK;352475000
FRIO PACIFIC;352515000
VIVA106;352533000
XUE LIN;352769000
FRIO ANTWERP;352784000
SIERRA MODOC;352786000
KHANA;352796000
JACHA;352844000
TUNA QUEEN;352894000
FRIO CANARIAS;353019000
BOYANG ALASKA;353079000
KURIKOMA;353185000
INVINCIBLE;353190000
OSTROV BERINGA;353242000
